timestamp,sender,receiver,platform,message
2026-02-01 09:00,Dr. Sharma,Rahul,Email,"Dear Rahul, please find the syllabus for Advanced Machine Learning attached. I expect full attendance this semester."
2026-02-01 10:30,Rahul,Dr. Sharma,Email,"Thank you, Sir. I have received the document and will be present for the introductory lecture at 11 AM."
2026-02-03 14:00,Dr. Sharma,Rahul,WhatsApp,"Rahul, the department is looking for a lead for the Robotics Lab. Given your GPA, I have recommended your name."
2026-02-03 14:15,Rahul,Dr. Sharma,WhatsApp,"I am honored, Sir. I will come to your office tomorrow to discuss the responsibilities."
2026-02-04 09:00,Dr. Sharma,Rahul,WhatsApp,Where are you? We were supposed to meet at 8:30 AM.
2026-02-04 09:45,Rahul,Dr. Sharma,WhatsApp,"Extremely sorry, Sir. There was a medical emergency at home. Can we reschedule for 4 PM?"
2026-02-04 10:00,Dr. Sharma,Rahul,WhatsApp,Very well. 4 PM sharp. Do not be late.
2026-02-07 16:00,Dr. Sharma,Rahul,Email,"Rahul, your draft for the Neural Networks paper is missing the bibliography. Please resubmit by Monday."
2026-02-09 08:30,Rahul,Dr. Sharma,Email,"Resubmitted, Sir. Apologies for the oversight. I was caught up with the group project."
2026-02-12 11:00,Dr. Sharma,Rahul,WhatsApp,"I noticed you were not in the lab today. Is everything alright?"
2026-02-12 13:00,Rahul,Dr. Sharma,WhatsApp,"Yes Sir. Just a slight fever. I am working from my room today."
2026-02-15 10:00,Dr. Sharma,Rahul,Email,"The TechCorp internship application portal is closing in 48 hours. I haven't seen your final application for review yet."
2026-02-16 22:00,Rahul,Dr. Sharma,Email,"Sir, I am finishing the SOP now. I will send it for your signature by tomorrow morning."
2026-02-20 09:00,Dr. Sharma,Rahul,WhatsApp,"Rahul, I received a call from your father. He seemed concerned about your project progress. What is happening?"
2026-02-20 10:30,Rahul,Dr. Sharma,WhatsApp,"Sir, there is no need for concern. I am just refining the data models. I will present a demo on Monday."
2026-02-23 11:30,Dr. Sharma,Rahul,WhatsApp,"Your demo was underwhelming. The logic is flawed. You need to put in more hours in the lab."
2026-02-23 12:00,Rahul,Dr. Sharma,WhatsApp,"I understand, Sir. I will put in extra hours this weekend."
2026-02-25 08:00,Dr. Sharma,Rahul,WhatsApp,"Reminder: The mandatory seminar is tomorrow. Attendance is 10% of your grade."
2026-02-26 10:00,Dr. Sharma,Rahul,WhatsApp,"You are missing the seminar, Rahul. This is unacceptable."
2026-02-26 14:00,Rahul,Dr. Sharma,WhatsApp,"Sir, I am so sorry. I had a flat tire on the way. I am heading to the department now."
2026-02-27 09:00,Dr. Sharma,Rahul,Email,"URGENT: Regarding your internship. TechCorp has flagged your late submission. You need to explain this to the Dean."
2026-02-27 11:00,Rahul,Dr. Sharma,Email,"Sir, please allow me one chance to explain. I am under significant personal stress."
2026-03-01 09:00,Dr. Sharma,Rahul,WhatsApp,"I am disappointed. You missed the Monday morning review. I am notifying your parents that your lead position is being revoked."
2026-03-02 10:00,Rahul,Dr. Sharma,WhatsApp,"Sir, please! I've had a rough few weeks. I will be in the lab all day today."
2026-03-03 14:00,Dr. Sharma,Rahul,Email,"Formal Warning: Your attendance has dropped below 60%. Failure to improve will lead to a semester back."
