timestamp,sender,receiver,platform,message
2026-02-01 14:52,Mom,Rahul,WhatsApp,"Beta, did you eat breakfast?"
2026-02-01 14:54,Rahul,Mom,WhatsApp,"Beta, did you eat breakfast?"
2026-02-01 15:03,Mom,Rahul,WhatsApp,I sent some home-made snacks with the courier.
2026-02-01 15:08,Rahul,Mom,WhatsApp,"Beta, did you eat breakfast?"
2026-02-01 18:34,Mom,Rahul,WhatsApp,God bless you beta.
2026-02-01 18:48,Rahul,Mom,WhatsApp,"I saw your photo, you look thin."
2026-02-01 19:01,Mom,Rahul,WhatsApp,God bless you beta.
2026-02-01 19:16,Rahul,Mom,WhatsApp,You don't have time for your mother anymore.
2026-02-02 01:10,Mom,Rahul,WhatsApp,"Drink plenty of water, it's hot today."
2026-02-02 01:19,Rahul,Mom,WhatsApp,I sent some home-made snacks with the courier.
2026-02-02 01:22,Mom,Rahul,WhatsApp,Don't eat outside food too much.
2026-02-02 01:27,Rahul,Mom,WhatsApp,"Beta, did you eat breakfast?"
2026-02-02 05:27,Mom,Rahul,WhatsApp,God bless you beta.
2026-02-02 05:30,Rahul,Mom,WhatsApp,God bless you beta.
2026-02-02 05:35,Mom,Rahul,WhatsApp,"I saw your photo, you look thin."
2026-02-02 05:47,Rahul,Mom,WhatsApp,You don't have time for your mother anymore.
2026-02-02 11:37,Mom,Rahul,WhatsApp,"I saw your photo, you look thin."
2026-02-02 11:40,Rahul,Mom,WhatsApp,"I saw your photo, you look thin."
2026-02-02 11:49,Mom,Rahul,WhatsApp,You don't have time for your mother anymore.
2026-02-02 11:50,Rahul,Mom,WhatsApp,You don't have time for your mother anymore.
2026-02-02 19:35,Mom,Rahul,WhatsApp,You don't have time for your mother anymore.
2026-02-02 19:40,Rahul,Mom,WhatsApp,God bless you beta.
2026-02-02 19:48,Mom,Rahul,WhatsApp,God bless you beta.
2026-02-02 20:02,Rahul,Mom,WhatsApp,"I saw your photo, you look thin."
2026-02-03 01:45,Mom,Rahul,WhatsApp,"Drink plenty of water, it's hot today."
2026-02-03 01:54,Rahul,Mom,WhatsApp,I sent some home-made snacks with the courier.
2026-02-03 01:56,Mom,Rahul,WhatsApp,Don't eat outside food too much.
2026-02-03 01:58,Rahul,Mom,WhatsApp,"Drink plenty of water, it's hot today."
2026-02-03 05:08,Mom,Rahul,WhatsApp,Reply when you are free.
2026-02-03 05:11,Rahul,Mom,WhatsApp,"I saw your photo, you look thin."
2026-02-03 05:20,Mom,Rahul,WhatsApp,You don't have time for your mother anymore.
2026-02-03 05:23,Rahul,Mom,WhatsApp,"I saw your photo, you look thin."
2026-02-03 11:08,Mom,Rahul,WhatsApp,Your aunt was asking about you.
2026-02-03 11:10,Rahul,Mom,WhatsApp,Did you call the LIC agent?
2026-02-03 11:15,Mom,Rahul,WhatsApp,When are you coming home?
2026-02-03 11:28,Rahul,Mom,WhatsApp,When are you coming home?
2026-02-03 15:31,Mom,Rahul,WhatsApp,Your aunt was asking about you.
2026-02-03 15:46,Rahul,Mom,WhatsApp,Did you call the LIC agent?
2026-02-03 15:55,Mom,Rahul,WhatsApp,Papa wants to talk about your internship.
2026-02-03 16:02,Rahul,Mom,WhatsApp,When are you coming home?
2026-02-03 19:46,Mom,Rahul,WhatsApp,Did you call the LIC agent?
2026-02-03 19:51,Rahul,Mom,WhatsApp,Did you call the LIC agent?
2026-02-03 20:04,Mom,Rahul,WhatsApp,Papa wants to talk about your internship.
2026-02-03 20:19,Rahul,Mom,WhatsApp,Did you call the LIC agent?
2026-02-03 21:44,Mom,Rahul,WhatsApp,When are you coming home?
2026-02-03 21:59,Rahul,Mom,WhatsApp,When are you coming home?
2026-02-03 22:12,Mom,Rahul,WhatsApp,Did you call the LIC agent?
2026-02-03 22:18,Rahul,Mom,WhatsApp,When are you coming home?
2026-02-04 01:12,Mom,Rahul,WhatsApp,God bless you beta.
2026-02-04 01:25,Rahul,Mom,WhatsApp,"I saw your photo, you look thin."
2026-02-04 01:27,Mom,Rahul,WhatsApp,Reply when you are free.
2026-02-04 01:31,Rahul,Mom,WhatsApp,Reply when you are free.
2026-02-04 05:10,Mom,Rahul,WhatsApp,"Beta, did you eat breakfast?"
2026-02-04 05:13,Rahul,Mom,WhatsApp,"Drink plenty of water, it's hot today."
2026-02-04 05:26,Mom,Rahul,WhatsApp,"Beta, did you eat breakfast?"
2026-02-04 05:36,Rahul,Mom,WhatsApp,I sent some home-made snacks with the courier.
2026-02-04 08:16,Mom,Rahul,WhatsApp,"Beta, did you eat breakfast?"
2026-02-04 08:25,Rahul,Mom,WhatsApp,"Drink plenty of water, it's hot today."
2026-02-04 08:27,Mom,Rahul,WhatsApp,I sent some home-made snacks with the courier.
2026-02-04 08:42,Rahul,Mom,WhatsApp,Don't eat outside food too much.
2026-02-04 11:48,Mom,Rahul,WhatsApp,"Beta, did you eat breakfast?"
2026-02-04 11:50,Rahul,Mom,WhatsApp,"Drink plenty of water, it's hot today."
2026-02-04 11:54,Mom,Rahul,WhatsApp,Don't eat outside food too much.
2026-02-04 11:56,Rahul,Mom,WhatsApp,"Beta, did you eat breakfast?"
2026-02-04 14:06,Mom,Rahul,WhatsApp,"I saw your photo, you look thin."
2026-02-04 14:11,Rahul,Mom,WhatsApp,God bless you beta.
2026-02-04 14:25,Mom,Rahul,WhatsApp,Reply when you are free.
2026-02-04 14:37,Rahul,Mom,WhatsApp,God bless you beta.
2026-02-04 16:57,Mom,Rahul,WhatsApp,I sent some home-made snacks with the courier.
2026-02-04 17:00,Rahul,Mom,WhatsApp,I sent some home-made snacks with the courier.
2026-02-04 17:09,Mom,Rahul,WhatsApp,I sent some home-made snacks with the courier.
2026-02-04 17:18,Rahul,Mom,WhatsApp,Don't eat outside food too much.
2026-02-04 23:38,Mom,Rahul,WhatsApp,Reply when you are free.
2026-02-04 23:47,Rahul,Mom,WhatsApp,You don't have time for your mother anymore.
2026-02-04 23:51,Mom,Rahul,WhatsApp,"I saw your photo, you look thin."
2026-02-04 23:57,Rahul,Mom,WhatsApp,"I saw your photo, you look thin."
